Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere
0130949L;Ecole maternelle Sinoncelli;ECOLE MATERNELLE PUBLIQUE;SINONCELLI;Public;49 rue Boisselot;;;13014;MARSEILLE;Marseille 14e  Arrondissement;893956.2;6249511.1;EPSG:2154;43.31833738753329;5.390000261345137;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13214;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3183373875,5.39000026135;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131005X;Ecole élémentaire mimet village;ECOLE ELEMENTAIRE  PUBLIQUE;MIMET VILLAGE;Public;Quartier de la Tour;;;13105;MIMET;Mimet;902928.5;6260699.1;EPSG:2154;43.416436345851075;5.50485971695293;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13062;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.4164363459,5.50485971695;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131008A;Ecole primaire Jean Moulin;ECOLE PRIMAIRE  PUBLIQUE;JEAN MOULIN;Public;Avenue Jean Moulin;;;13140;MIRAMAS;Miramas;862042.7;6277520.0;EPSG:2154;43.57821768179987;5.005700040964928;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13063;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5782176818,5.00570004096;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131012E;Ecole primaire Village;ECOLE PRIMAIRE PUBLIQUE;VILLAGE;Public;Rue des Ecoles Qua Village;;;13140;MIRAMAS;Miramas;863597.1;6275812.8;EPSG:2154;43.56250536940308;5.024389768231181;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13063;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5625053694,5.02438976823;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131020N;Ecole primaire Paluds de Noves;ECOLE PRIMAIRE PUBLIQUE;PALUDS DE NOVES;Public;Avenue François Marcel roudier;PALUDS DE NOVES;;13550;NOVES;Noves;853049.0;6305662.0;EPSG:2154;43.833372252427395;4.902816118552937;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13066;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.8333722524,4.90281611855;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131027W;Ecole primaire de La Gare;ECOLE PRIMAIRE  PUBLIQUE;DE LA GARE;Public;Avenue Frédéric Mistral;;;13330;PELISSANNE;Pélissanne;873811.1;6284035.8;EPSG:2154;43.63403602490675;5.153493880001844;Correcte;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13069;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.6340360249,5.15349388;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131044P;Ecole élémentaire Auberge Neuve;ECOLE ELEMENTAIRE  PUBLIQUE;AUBERGE NEUVE;Public;;AUBERGE NEUVE;;13124;PEYPIN;Peypin;906790.0;6258198.0;EPSG:2154;43.39283495519336;5.551494264424964;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13073;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3928349552,5.55149426442;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131106G;Ecole élémentaire Pierre Barbizet;ECOLE ELEMENTAIRE  PUBLIQUE;PIERRE BARBIZET;Public;18 avenue Henri Barbusse;;;13760;ST CANNAT;Saint-Cannat;885438.0;6283061.9;EPSG:2154;43.622328632165086;5.297119795624626;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;2;A FERMER;13;93;2;13091;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.6223286322,5.29711979562;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131204N;Ecole élémentaire Les Granettes;ECOLE ELEMENTAIRE  PUBLIQUE;GRANETTES (LES);Public;Chemin du Granet;;;13090;AIX EN PROVENCE;Aix-en-Provence;893549.4;6273873.4;EPSG:2154;43.53752379892289;5.394089710298086;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13001;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5375237989,5.3940897103;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131209U;Ecole élémentaire  Roy d'Espagne;ECOLE ELEMENTAIRE  PUBLIQUE;ROY D'ESPAGNE;Public;1 allée EMMANUEL CHABRIER;;;13008;MARSEILLE;Marseille  8e  Arrondissement;893893.0;6240802.0;EPSG:2154;43.2400475517863;5.385980198706497;MANUEL;BATIMENT;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13208;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.2400475518,5.38598019871;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
