ACADEMIE;DEPARTEMENT;ETABLISSEMENT;VILLE;UAI;CODE COMMUNE;SECTEUR;NB PRESENTS L;NB PRESENTS ES;NB PRESENTS S;NB PRESENTS STMG;NB PRESENTS STI2D;NB PRESENTS STD2A;NB PRESENTS STL;NB PRESENTS ST2S;NB PRESENTS TMD;NB PRESENTS STHR;NB PRESENTS TOTAL;TAUX REUSSITE L;TAUX REUSSITE ES;TAUX REUSSITE S;TAUX REUSSITE STMG;TAUX REUSSITE STI2D;TAUX REUSSITE STD2A;TAUX REUSSITE STL;TAUX REUSSITE ST2S;TAUX REUSSITE TMD;TAUX REUSSITE STHR;TAUX REUSSITE TOTAL;2NDE;1ERE;TERM
AIX-MARSEILLE;ALPES DE HTE PROVENCE;LYCEE ANDRE HONNORAT (GENERAL ET TECHNO.);BARCELONNETTE;0040003G;4019;PU;7;20;30;;;;;;;;57;100;100;100;;;;;;;;100;57;51;54
AIX-MARSEILLE;ALPES DE HTE PROVENCE;LYCEE ALEXANDRA DAVID NEEL;DIGNE LES BAINS;0040027H;4070;PU;51;68;57;32;;;;66;;;274;100;100;96;97;;;;98;;;99;207;244;204
AIX-MARSEILLE;ALPES DE HTE PROVENCE;LYCEE LE SACRE COEUR (GENERAL ET TECHNO.);DIGNE LES BAINS;0040034R;4070;PR;;4;7;14;;;;;;;25;;100;100;100;;;;;;;100;35;26;16
AIX-MARSEILLE;ALPES DE HTE PROVENCE;LYCEE PIERRE-GILLES DE GENNES;DIGNE LES BAINS;0040490L;4070;PU;;;90;;58;;33;;;;181;;;100;;100;;100;;;;100;175;210;165
AIX-MARSEILLE;ALPES DE HTE PROVENCE;ECOLE INTERNATIONALE PACA;MANOSQUE;0040543U;4112;PU;6;19;24;;;;;;;;49;100;100;100;;;;;;;;100;73;68;61
AIX-MARSEILLE;ALPES DE HTE PROVENCE;LYCEE FELIX ESCLANGON;MANOSQUE;0040010P;4112;PU;56;108;61;83;;;;;;;308;98;100;98;96;;;;;;;98;366;258;236
AIX-MARSEILLE;ALPES DE HTE PROVENCE;LYCEE LES ISCLES (GENERAL ET TECHNO.);MANOSQUE;0040533H;4112;PU;;;108;;73;;;;;;181;;;100;;97;;;;;;99;242;245;217
AIX-MARSEILLE;ALPES DE HTE PROVENCE;LYCEE PAUL ARENE (GENERAL ET TECHNO.);SISTERON;0040023D;4209;PU;12;44;30;22;;;;;;17;125;92;98;97;100;;;;;;100;98;139;142;122
AIX-MARSEILLE;HAUTES ALPES;LYCEE D ALTITUDE (GENERAL ET TECHNO.);BRIANCON;0050003B;5023;PU;24;51;97;29;38;;;;;;239;100;100;100;97;100;;;;;;100;230;228;221
AIX-MARSEILLE;HAUTES ALPES;LYCEE HONORE ROMANE;EMBRUN;0050004C;5046;PU;22;24;44;18;;;;47;;;155;86;100;98;100;;;;100;;;97;140;144;141
AIX-MARSEILLE;HAUTES ALPES;LYCEE ARISTIDE BRIAND;GAP;0050007F;5061;PU;25;86;119;110;;;23;;;;363;100;100;99;96;;;100;;;;99;333;321;352
AIX-MARSEILLE;HAUTES ALPES;LYCEE DOMINIQUE VILLARS;GAP;0050006E;5061;PU;28;61;108;;;;;;;;197;100;98;100;;;;;;;;99;269;194;173
AIX-MARSEILLE;HAUTES ALPES;LYCEE ST JOSEPH;GAP;0050035L;5061;PR;;22;51;;;;;;;;73;;100;100;;;;;;;;100;107;86;59
AIX-MARSEILLE;BOUCHES DU RHONE;LYCEE CELONY (GENERAL ET TECHNO.);AIX EN PROVENCE;0133425C;13001;PR;;;;31;;31;;;;;62;;;;94;;100;;;;;97;53;61;58
AIX-MARSEILLE;BOUCHES DU RHONE;LYCEE EMILE ZOLA (GENERAL ET TECHNO.);AIX EN PROVENCE;0130001F;13001;PU;52;135;201;81;;;;61;;;530;98;99;99;95;;;;100;;;98;492;523;498
AIX-MARSEILLE;BOUCHES DU RHONE;LYCEE GEORGES DUBY;AIX EN PROVENCE;0133525L;13001;PU;29;186;231;63;;;;;;;509;93;99;100;97;;;;;;;99;526;492;465
AIX-MARSEILLE;BOUCHES DU RHONE;LYCEE NATIVITE (LA);AIX EN PROVENCE;0131319N;13001;PR;11;82;145;7;;;;;;;245;100;100;100;100;;;;;;;100;282;300;228
